county_state,year,population,median_income,prop_female,prop_male,prop_white,prop_black,prop_native,prop_asian,prop_hawaiin_islander,prop_other_race,prop_multi_racial,prop_poverty
"Hartford County, Connecticut",2010,894478,60041,0.5170837069218024,0.48291629307819756,0.7294980983322117,0.12977960329935448,0.001767511330630826,0.041651108244137924,5.198562737149488e-4,0.06819619934755243,0.028587623172397755,0.11402114089018149
"Litchfield County, Connecticut",2010,189840,66307,0.5130214917825537,0.48697850821744626,0.9388643067846608,0.013406026127265065,5.162241887905605e-4,0.017656974294142435,0,0.01452275600505689,0.015033712600084282,0.06479982474981433
"Middlesex County, Connecticut",2010,165697,69566,0.5110110623608152,0.4889889376391848,0.8890082499984913,0.04472621713126973,6.457570143092512e-4,0.028491765089289488,0.001369970488300935,0.015208482953825356,0.020549557324514023,0.07433498120429652
"New Haven County, Connecticut",2010,862989,57056,0.5190054566164807,0.4809945433835194,0.7514545376592285,0.1261846906507499,0.001046363279253849,0.034643547020877435,3.059135168582682e-4,0.05870410862710881,0.02766083924592318,0.11655661075539894
"New London County, Connecticut",2010,274055,62349,0.4986517304920545,0.5013482695079455,0.8244294028570908,0.062279469449563044,0.006017040375107186,0.04413712575942785,3.4299684369925746e-4,0.03015088212220175,0.03264308259291018,0.08794330585663365
"Tolland County, Connecticut",2010,152781,75626,0.5004156275976724,0.4995843724023275,0.8990908555383196,0.023072240658197025,0.0013745164647436527,0.02941465234551417,0,0.005576609656959963,0.04147112533626564,0.05363015431317986
"Windham County, Connecticut",2010,118519,60026,0.5103232393118403,0.4896767606881597,0.9262059247884306,0.017988676921000007,0.003653422657970452,0.010757768796564263,8.015592436655726e-4,0.02297521916317215,0.017617428429197005,0.1233113838606136
"Kent County, Delaware",2010,162912,54617,0.5159042918876449,0.48409570811235514,0.6962102239245728,0.2407496071498723,0.0037320762129247694,0.015628069141622472,0.0031059713219406797,0.0052420938911805146,0.03533195835788647,0.11228920271605726
"New Castle County, Delaware",2010,538986,59959,0.515352903414931,0.484647096585069,0.6712920187166271,0.23640873788929584,0.0023210250359007468,0.04326642992582368,0.0012709049956770677,0.021212053745366298,0.024228829691309236,0.11286650213062072
"Sussex County, Delaware",2010,197871,49006,0.512182179298634,0.48781782070136603,0.8127214195106913,0.1262640811437755,0.003087870380197199,0.008166937044842346,0,0.028124384068408205,0.02163530785208545,0.13774441969453005
